source,target,key_field_list
bpm_ebitda_sgok_fact_plan_xls,fct_ebitda_sgok_fact_plan_xls,settlement_date
bpm_ebitda_sgok_fact_plan_xls,fct_ebitda_sgok_fact_plan_xls,scenario
bpm_ebitda_sgok_fact_plan_xls,fct_ebitda_sgok_fact_plan_xls,ebitda_qnt_rub
bpm_ebitda_sgok_fact_plan_xls,fct_ebitda_sgok_fact_plan_xls,ebitda_qnt_usds
